city,state,latitude,longitude,population,msa,new_msa
wildomar,california,33.59891,-117.28004,35632,Riverside-San Bernardino-Ontario CA MSA,united states__california__san bernardino__MSA
long lake,minnesota,44.98663,-93.57162,1800,Minneapolis-St. Paul-Bloomington MN-WI MSA,united states__minnesota__minneapolis__MSA
chamblee,georgia,33.89205,-84.29881,28244,,united states__georgia__atlanta__MSA
earth city,missouri,38.7689,-90.4682,0,St. Louis MO-IL MSA,united states__missouri__st louis__MSA
healdsburg,california,38.61047,-122.86916,11742,Santa Rosa-Petaluma CA MSA,united states__california__santa rosa__MSA
lebanon,new jersey,40.64177,-74.836,1671,Lebanon PA MSA,united states__new york__new york city__MSA
oberlin,ohio,41.29394,-82.21738,8350,Cleveland-Elyria-Mentor OH MSA,united states__ohio__cleveland__MSA
kuna,idaho,43.49183,-116.42012,17226,Boise City-Nampa ID MSA,united states__idaho__boise__MSA
etna,ohio,39.95729,-82.68183,1215,Columbus OH MSA,united states__ohio__columbus__MSA
bay village,ohio,41.48477,-81.92208,15402,Cleveland-Elyria-Mentor OH MSA,united states__ohio__cleveland__MSA
st michael,minnesota,45.2014,-93.692,18204,ND NONMETROPOLITAN AREA,united states__minnesota__minneapolis__MSA
bloomfield,connecticut,41.8426,-72.7406,21022,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__massachusetts__springfield__MSA
windham,maine,43.7981,-70.4056,18195,Portland-South Portland-Biddeford ME MSA,united states__maine__portland__MSA
brewster,new york,41.39732,-73.61707,2332,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__connecticut__bridgeport__MSA
platteville,colorado,40.21498,-104.82275,2619,Greeley CO MSA,united states__colorado__denver__MSA
tannersville,pennsylvania,41.04009,-75.30574,2784,NY NONMETROPOLITAN AREA,united states__pennsylvania__scranton__MSA
groveland,florida,28.55805,-81.85119,11528,Orlando-Kissimmee FL MSA,united states__florida__orlando__MSA
redmond,oregon,44.27262,-121.17392,28654,Bend OR MSA,united states__oregon__bend__MSA
harvey,illinois,41.61003,-87.64671,25194,Chicago-Naperville-Joliet IL-IN-WI MSA,united states__illinois__chicago__MSA
o fallon,missouri,38.81061,-90.69985,85040,St. Louis MO-IL MSA,united states__missouri__st louis__MSA
stroudsburg,pennsylvania,40.98676,-75.19462,5444,PA NONMETROPOLITAN AREA,united states__pennsylvania__scranton__MSA
lavallette,new jersey,39.9704,-74.06875,1807,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new jersey__toms river__MSA
cranberry township,pennsylvania,40.68496,-80.10714,28098,Pittsburgh PA MSA,united states__pennsylvania__pittsburgh__MSA
thornton,colorado,39.86804,-104.97192,133451,Denver-Aurora CO MSA,united states__colorado__denver__MSA
jackson,new jersey,39.7765,-74.86238,54856,Jackson MS MSA,united states__pennsylvania__philadelphia__MSA
graniteville,south carolina,33.56375,-81.80789,2614,Augusta-Richmond County GA-SC MSA,united states__georgia__augusta__MSA
st cloud,florida,28.2294,-81.2829,54579,St. Cloud MN MSA,united states__florida__orlando__MSA
blue ash,ohio,39.232,-84.37827,12159,,united states__ohio__cincinnati__MSA
paso robles,california,35.62664,-120.691,27157,San Luis Obispo-Paso Robles CA MSA,united states__california__santa maria__MSA
american canyon,california,38.17492,-122.2608,20554,Napa CA MSA,united states__california__santa rosa__MSA
landover,maryland,38.934,-76.89664,23078,,united states__washington d c__washington__MSA
ocean isle beach,north carolina,33.89434,-78.42667,597,Wilmington NC MSA,united states__north carolina__wilmington__MSA
succasunna,new jersey,40.86843,-74.64044,9152,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
whitehouse station,new jersey,40.61538,-74.77044,2089,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
mount horeb,wisconsin,43.00861,-89.73846,7421,Madison WI MSA,united states__wisconsin__madison__MSA
rosemount,minnesota,44.73941,-93.12577,23413,Minneapolis-St. Paul-Bloomington MN-WI MSA,united states__minnesota__minneapolis__MSA
lawndale,california,33.88724,-118.35257,33430,Los Angeles-Long Beach-Santa Ana CA MSA,united states__california__los angeles__MSA
winchester,kentucky,37.99008,-84.17965,18446,Lexington-Fayette KY MSA,united states__kentucky__lexington__MSA
flossmoor,illinois,41.54281,-87.68477,9478,Chicago-Naperville-Joliet IL-IN-WI MSA,united states__illinois__chicago__MSA
skillman,new jersey,40.42011,-74.7146,242,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
red oak,texas,32.51764,-96.80444,12022,Dallas-Fort Worth-Arlington TX MSA,united states__texas__dallas__MSA
lockhart,texas,29.88494,-97.67,13446,Austin-Round Rock TX MSA,united states__texas__austin__MSA
lake bluff,illinois,42.27891,-87.83424,5674,Chicago-Naperville-Joliet IL-IN-WI MSA,united states__illinois__chicago__MSA
north jackson,ohio,41.1001,-80.8573,0,Youngstown-Warren-Boardman OH-PA MSA,united states__ohio__canton__MSA
new caney,texas,30.1552,-95.2113,0,Houston-Sugar Land-Baytown TX MSA,united states__texas__houston__MSA
paradise,california,39.75961,-121.62192,26476,Chico CA MSA,united states__california__chico__MSA
aurora,indiana,39.057,-84.90134,3701,Cincinnati-Middletown OH-KY-IN MSA,united states__ohio__cincinnati__MSA
nanticoke,pennsylvania,41.20536,-76.00492,10258,Scranton--Wilkes-Barre PA MSA,united states__pennsylvania__scranton__MSA
fair haven,new jersey,40.36067,-74.03819,6029,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
bingham farms,michigan,42.51587,-83.27326,1133,,united states__michigan__detroit__MSA
superior,wisconsin,46.72077,-92.10408,26579,Duluth MN-WI MSA,united states__minnesota__duluth__MSA
lathrop,california,37.8227,-121.27661,20866,Stockton CA MSA,united states__california__san jose__MSA
new freedom,pennsylvania,39.73788,-76.70136,4585,York-Hanover PA MSA,united states__pennsylvania__lancaster__MSA
ipswich,massachusetts,42.67926,-70.84116,4222,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
charles town,west virginia,39.28899,-77.85972,5899,Washington-Arlington-Alexandria DC-VA-MD-WV MSA,united states__maryland__hagerstown__MSA
laguna woods,california,33.6103,-117.72533,16406,Los Angeles-Long Beach-Santa Ana CA MSA,united states__california__los angeles__MSA
maricopa,arizona,33.05811,-112.04764,48602,Phoenix-Mesa-Scottsdale AZ MSA,united states__arizona__phoenix__MSA
fairhaven,massachusetts,41.6376,-70.90365,16453,Providence-New Bedford-Fall River RI-MA MSA,united states__massachusetts__new bedford__MSA
easton,maryland,38.77428,-76.07633,16617,Allentown-Bethlehem-Easton PA-NJ MSA,united states__delaware__dover__MSA
levittown,new york,40.72593,-73.51429,51881,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
mount arlington,new jersey,40.92593,-74.63488,5300,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
millbury,massachusetts,42.19398,-71.76007,13606,Worcester MA MSA,united states__massachusetts__boston__MSA
suffield,connecticut,41.9945,-72.6789,15688,Hartford-West Hartford-East Hartford CT MSA,united states__massachusetts__springfield__MSA
bloomington,california,34.07029,-117.39588,23851,Riverside-San Bernardino-Ontario CA MSA,united states__california__los angeles__MSA
northfield,minnesota,44.4583,-93.1616,20380,MN NONMETROPOLITAN AREA,united states__minnesota__minneapolis__MSA
norco,california,33.93113,-117.54866,26289,Riverside-San Bernardino-Ontario CA MSA,united states__california__los angeles__MSA
hesston,kansas,38.13834,-97.43143,3813,Wichita KS MSA,united states__kansas__wichita__MSA
plainfield,illinois,41.62697,-88.20395,42527,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__illinois__chicago__MSA
spring hill,tennessee,35.75118,-86.93,36055,Tampa-St. Petersburg-Clearwater FL MSA,united states__tennessee__nashville__MSA
roselle,illinois,41.98475,-88.07979,22994,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__illinois__chicago__MSA
coconut creek,florida,26.25175,-80.17894,59302,Miami-Fort Lauderdale-Pompano Beach FL MSA,united states__florida__miami__MSA
melissa,texas,33.28595,-96.57277,7436,Dallas-Fort Worth-Arlington TX MSA,united states__texas__dallas__MSA
evendale,ohio,39.25617,-84.418,2767,,united states__ohio__cincinnati__MSA
wildwood,florida,28.86542,-82.04058,6590,FL NONMETROPOLITAN AREA,united states__florida__orlando__MSA
tarboro,north carolina,35.89682,-77.5358,11164,Rocky Mount NC MSA,united states__north carolina__greenville__MSA
annandale,new jersey,40.64093,-74.88128,1695,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
lincolnwood,illinois,42.00448,-87.73006,12646,Chicago-Naperville-Joliet IL-IN-WI MSA,united states__illinois__chicago__MSA
oregon,ohio,41.64366,-83.48688,20102,Toledo OH MSA,united states__ohio__toledo__MSA
murrysville,pennsylvania,40.4284,-79.69755,20134,Pittsburgh PA MSA,united states__pennsylvania__pittsburgh__MSA
belle plaine,minnesota,44.62274,-93.76857,6918,Minneapolis-St. Paul-Bloomington MN-WI MSA,united states__minnesota__minneapolis__MSA
riverwoods,illinois,42.16753,-87.89701,3643,,united states__illinois__chicago__MSA
scott air force base,illinois,38.5427,-89.85035,3612,St. Louis MO-IL MSA,united states__missouri__st louis__MSA
santa fe,texas,29.37801,-95.10576,13037,Houston-Sugar Land-Baytown TX MSA,united states__texas__houston__MSA
shepherdsville,kentucky,37.9884,-85.71579,11967,Louisville/Jefferson County KY-IN MSA,united states__kentucky__louisville__MSA
sherwood,oregon,45.35651,-122.8401,19283,Portland-Vancouver-Beaverton OR-WA MSA,united states__oregon__portland__MSA
long beach,new york,40.58844,-73.65791,33550,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
andover,minnesota,45.2333,-93.29134,32213,Minneapolis-St. Paul-Bloomington MN-WI MSA,united states__minnesota__minneapolis__MSA
pompton lakes,new jersey,41.00538,-74.2907,11202,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
roebuck,south carolina,34.87957,-81.96621,2200,Spartanburg SC MSA,united states__south carolina__greenville__MSA
lindenhurst,new york,40.68677,-73.37345,27277,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
la plata,maryland,38.52929,-76.97525,9125,Washington-Arlington-Alexandria DC-VA-MD-WV MSA,united states__washington d c__washington__MSA
bound brook,new jersey,40.56844,-74.53849,10497,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
dayton,texas,30.04661,-94.8852,7575,Dayton OH MSA,united states__texas__houston__MSA
scituate,massachusetts,42.19593,-70.72587,5245,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
tyrone,pennsylvania,40.67062,-78.23862,5353,Altoona PA MSA,united states__pennsylvania__altoona__MSA
knightdale,north carolina,35.78765,-78.48056,14256,Raleigh-Cary NC MSA,united states__north carolina__raleigh__MSA
farmers branch,texas,32.92651,-96.89612,32689,,united states__texas__dallas__MSA
randallstown,maryland,39.36733,-76.79525,32430,Baltimore-Towson MD MSA,united states__washington d c__washington__MSA
de forest,wisconsin,43.24777,-89.34373,8936,,united states__wisconsin__madison__MSA
marietta,pennsylvania,40.05704,-76.55219,2608,Lancaster PA MSA,united states__pennsylvania__lancaster__MSA
southbury,connecticut,41.48148,-73.21317,19836,New Haven-Milford CT MSA,united states__connecticut__bridgeport__MSA
imlay city,michigan,43.02475,-83.07772,3573,Detroit-Warren-Livonia MI MSA,united states__michigan__detroit__MSA
bullhead city,arizona,35.14778,-114.5683,39445,Lake Havasu City-Kingman AZ MSA,united states__arizona__bullhead city__MSA
emmett,idaho,43.8735,-116.4993,6604,Boise City-Nampa ID MSA,united states__idaho__boise__MSA
southeast,new york,41.4032,-73.5985,18153,,united states__connecticut__bridgeport__MSA
milwaukie,oregon,45.44623,-122.63926,20830,,united states__oregon__portland__MSA
decatur,texas,33.23428,-97.58614,6521,Atlanta-Sandy Springs-Marietta GA MSA,united states__texas__weatherford__MSA
little elm,texas,33.16262,-96.93751,38341,Dallas-Fort Worth-Arlington TX MSA,united states__texas__dallas__MSA
jurupa valley,california,33.99251,-117.51644,21930,Los Angeles-Long Beach-Santa Ana CA MSA,united states__california__los angeles__MSA
st john,indiana,41.4431,-87.47,18796,Chicago-Naperville-Joliet IL-IN-WI MSA,united states__illinois__chicago__MSA
niantic,connecticut,41.32538,-72.19313,3114,Norwich-New London CT MSA,united states__connecticut__new london__MSA
piedmont,south carolina,34.70234,-82.46457,5103,San Francisco-Oakland-Fremont CA MSA,united states__south carolina__greenville__MSA
amelia,ohio,39.0284,-84.21771,4932,Cincinnati-Middletown OH-KY-IN MSA,united states__ohio__cincinnati__MSA
richmond,kentucky,37.74786,-84.29465,33533,Richmond VA MSA,united states__kentucky__lexington__MSA
abington,massachusetts,42.10482,-70.94532,15985,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
vinton,iowa,42.16861,-92.02351,5148,Cedar Rapids IA MSA,united states__iowa__cedar rapids__MSA
chester,pennsylvania,39.84967,-75.35707,34092,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
romeo,michigan,42.80281,-83.01299,3625,Detroit-Warren-Livonia MI MSA,united states__michigan__detroit__MSA
south gate,california,33.95474,-118.21202,96401,Los Angeles-Long Beach-Santa Ana CA MSA,united states__california__los angeles__MSA
beach haven,new jersey,39.55928,-74.2432,1172,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new jersey__toms river__MSA
highland park,illinois,42.18169,-87.80034,29743,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__illinois__chicago__MSA
edgewater,maryland,38.95706,-76.54996,9023,Baltimore-Towson MD MSA,united states__washington d c__washington__MSA
monroe,connecticut,41.3379,-73.225,19546,Monroe LA MSA,united states__connecticut__bridgeport__MSA
new prague,minnesota,44.5433,-93.57607,7582,MN NONMETROPOLITAN AREA,united states__minnesota__minneapolis__MSA
midway,utah,40.51218,-111.47435,4646,UT NONMETROPOLITAN AREA,united states__utah__salt lake city__MSA
davenport,florida,28.1614,-81.60174,3534,Davenport-Moline-Rock Island IA-IL MSA,united states__florida__orlando__MSA
texarkana,arkansas,33.44179,-94.03769,30353,Texarkana TX-Texarkana AR MSA,united states__texas__texarkana__MSA
spencer,massachusetts,42.24398,-71.9923,5700,Worcester MA MSA,united states__massachusetts__boston__MSA
petal,mississippi,31.34656,-89.26006,10701,Hattiesburg MS MSA,united states__mississippi__hattiesburg__MSA
monroe,new jersey,40.3191,-74.4286,44306,Monroe LA MSA,united states__new york__new york city__MSA
greenfield,massachusetts,42.58759,-72.59953,19753,Salinas CA MSA,united states__massachusetts__springfield__MSA
prairie view,texas,30.09327,-95.98773,6369,Houston-Sugar Land-Baytown TX MSA,united states__texas__houston__MSA
medway,massachusetts,42.14176,-71.39673,13042,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
new baltimore,michigan,42.68114,-82.73686,12354,Detroit-Warren-Livonia MI MSA,united states__michigan__detroit__MSA
palos hills,illinois,41.6967,-87.817,17565,Chicago-Naperville-Joliet IL-IN-WI MSA,united states__illinois__chicago__MSA
woodland,washington,45.90456,-122.74399,5842,Longview WA MSA,united states__oregon__portland__MSA
carolina beach,north carolina,34.03517,-77.8936,6137,Wilmington NC MSA,united states__north carolina__wilmington__MSA
greenfield,indiana,39.78504,-85.76942,21497,Salinas CA MSA,united states__indiana__indianapolis__MSA
oakhurst,new jersey,40.27094,-74.01625,3995,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
suisun city,california,38.2473,-122.009,29663,Vallejo-Fairfield CA MSA,united states__california__sacramento__MSA
keizer,oregon,44.99012,-123.02621,37895,Salem OR MSA,united states__oregon__portland__MSA
hallandale beach,florida,25.9812,-80.14838,39488,,united states__florida__miami__MSA
monee,illinois,41.42003,-87.74171,5082,Chicago-Naperville-Joliet IL-IN-WI MSA,united states__illinois__chicago__MSA
syracuse,utah,41.08939,-112.06467,27395,Syracuse NY MSA,united states__utah__salt lake city__MSA
poteau,oklahoma,35.05371,-94.62356,8732,Fort Smith AR-OK MSA,united states__arkansas__fort smith__MSA
university park,illinois,41.44298,-87.6836,7070,Chicago-Naperville-Joliet IL-IN-WI MSA,united states__illinois__chicago__MSA
cameron,missouri,39.74028,-94.24106,9836,Kansas City MO-KS MSA,united states__missouri__kansas city__MSA
atwater,california,37.34772,-120.60908,29237,Merced CA MSA,united states__california__modesto__MSA
waterford,connecticut,41.3417,-72.13597,19281,Norwich-New London CT MSA,united states__connecticut__new london__MSA
eglin air force base,florida,30.45907,-86.55026,2274,,united states__florida__pensacola__MSA
greenville,wisconsin,44.3003,-88.5365,0,Appleton WI MSA,united states__wisconsin__green bay__MSA
zachary,louisiana,30.64852,-91.1565,16448,Baton Rouge LA MSA,united states__louisiana__baton rouge__MSA
dunkirk,maryland,38.72178,-76.66052,2509,Washington-Arlington-Alexandria DC-VA-MD-WV MSA,united states__washington d c__washington__MSA
somerville,new jersey,40.57427,-74.60988,12202,Boston-Cambridge-Quincy MA-NH MSA,united states__new york__new york city__MSA
dartmouth,massachusetts,41.6138,-70.9973,34204,Providence-New Bedford-Fall River RI-MA MSA,united states__massachusetts__new bedford__MSA
chalmette,louisiana,29.94296,-89.96537,16751,New Orleans-Metairie-Kenner LA MSA,united states__louisiana__new orleans__MSA
hope mills,north carolina,34.97044,-78.94531,16163,Fayetteville NC MSA,united states__north carolina__fayetteville__MSA
east windsor,connecticut,41.91232,-72.54509,4069,Hartford-West Hartford-East Hartford CT MSA,united states__massachusetts__springfield__MSA
glenside,pennsylvania,40.10233,-75.15212,8384,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
van buren,arkansas,35.43676,-94.34827,23081,Fort Smith AR-OK MSA,united states__arkansas__fort smith__MSA
freeport,texas,28.95414,-95.35966,12154,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__texas__lake jackson__MSA
seagoville,texas,32.63958,-96.53832,15894,Dallas-Fort Worth-Arlington TX MSA,united states__texas__dallas__MSA
lodi,new jersey,40.88232,-74.0832,24835,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
hastings,michigan,42.64587,-85.29084,7284,Grand Rapids-Wyoming MI MSA,united states__michigan__grand rapids__MSA
south bay,florida,26.66396,-80.71617,5101,Miami-Fort Lauderdale-Pompano Beach FL MSA,united states__florida__port st lucie__MSA
roanoke,texas,33.00401,-97.22585,7400,Roanoke VA MSA,united states__texas__dallas__MSA
west bloomfield township,michigan,42.56891,-83.38356,64690,,united states__michigan__detroit__MSA
marblehead,massachusetts,42.5001,-70.85783,19808,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
chatham,massachusetts,41.68206,-69.95974,1421,Barnstable Town MA MSA,united states__massachusetts__eastham__MSA
mapleton,utah,40.13023,-111.57853,9232,Provo-Orem UT MSA,united states__utah__salt lake city__MSA
rigby,idaho,43.67241,-111.91497,4029,Idaho Falls ID MSA,united states__idaho__idaho falls__MSA
waverly,iowa,42.72581,-92.47546,10066,Waterloo-Cedar Falls IA MSA,united states__iowa__cedar falls__MSA
new hope,pennsylvania,40.36427,-74.95128,2510,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
west valley city,utah,40.69161,-112.00105,136208,Salt Lake City UT MSA,united states__utah__salt lake city__MSA
pebble beach,california,36.5663,-121.9466,0,Salinas CA MSA,united states__california__seaside__MSA
gilmer,texas,32.72875,-94.94244,5187,Longview TX MSA,united states__texas__tyler__MSA
fort carson,colorado,38.73749,-104.78886,13813,,united states__colorado__colorado springs__MSA
zionsville,indiana,39.95087,-86.26194,26296,Indianapolis-Carmel IN MSA,united states__indiana__indianapolis__MSA
park ridge,new jersey,41.0376,-74.0407,8919,Chicago-Naperville-Joliet IL-IN-WI MSA,united states__new york__new york city__MSA
ojai,california,34.44805,-119.24289,7627,Oxnard-Thousand Oaks-Ventura CA MSA,united states__california__oxnard__MSA
wood river,illinois,38.86116,-90.09761,10294,St. Louis MO-IL MSA,united states__missouri__st louis__MSA
corte madera,california,37.92548,-122.52748,9901,San Francisco-Oakland-Fremont CA MSA,united states__california__santa rosa__MSA
sierra madre,california,34.16167,-118.05285,11163,Los Angeles-Long Beach-Santa Ana CA MSA,united states__california__los angeles__MSA
montclair,california,34.07751,-117.68978,38690,Riverside-San Bernardino-Ontario CA MSA,united states__california__los angeles__MSA
pittston,pennsylvania,41.32591,-75.78936,7651,Scranton--Wilkes-Barre PA MSA,united states__pennsylvania__scranton__MSA
lindale,texas,32.5157,-95.4094,5692,Tyler TX MSA,united states__texas__tyler__MSA
orland,california,39.74738,-122.19637,7550,CA NONMETROPOLITAN AREA,united states__california__chico__MSA
ashford,connecticut,41.8911,-72.1711,4236,CT NONMETROPOLITAN AREA,united states__massachusetts__springfield__MSA
pennsauken,new jersey,39.95622,-75.05795,36332,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
barrington,rhode island,41.74066,-71.30866,16669,Providence-New Bedford-Fall River RI-MA MSA,united states__massachusetts__boston__MSA
clinton,tennessee,36.10341,-84.13186,10049,Knoxville TN MSA,united states__tennessee__knoxville__MSA
channelview,texas,29.77606,-95.11465,38289,Houston-Sugar Land-Baytown TX MSA,united states__texas__houston__MSA
cleburne,texas,32.34764,-97.38668,30020,Dallas-Fort Worth-Arlington TX MSA,united states__texas__dallas__MSA
columbiana,ohio,40.88839,-80.69396,6291,OH NONMETROPOLITAN AREA,united states__pennsylvania__pittsburgh__MSA
riverview,florida,27.86614,-82.32648,71050,Tampa-St. Petersburg-Clearwater FL MSA,united states__florida__tampa__MSA
south kensington,maryland,39.019,-77.07998,8462,,united states__washington d c__washington__MSA
river forest,illinois,41.89781,-87.81395,11199,Chicago-Naperville-Joliet IL-IN-WI MSA,united states__illinois__chicago__MSA
marshfield,missouri,37.33866,-92.90712,7138,Springfield MO MSA,united states__missouri__springfield__MSA
fremont,michigan,43.46752,-85.942,4036,Grand Rapids-Wyoming MI MSA,united states__michigan__grand rapids__MSA
saint cloud,florida,28.2489,-81.28118,35183,St. Cloud MN MSA,united states__florida__orlando__MSA
st ann,missouri,38.7266,-90.3872,12629,St. Louis MO-IL MSA,united states__missouri__st louis__MSA
anderson,california,40.44821,-122.29778,10217,Redding CA MSA,united states__california__redding__MSA
lewiston,idaho,46.41655,-117.01766,32544,Lewiston ID-WA MSA,united states__washington__pullman__MSA
port jervis,new york,41.37509,-74.69266,8609,Poughkeepsie-Newburgh-Middletown NY MSA,united states__new york__poughkeepsie__MSA
rio vista,california,38.16389,-121.69583,8348,Vallejo-Fairfield CA MSA,united states__california__sacramento__MSA
fishersville,virginia,38.09902,-78.96919,7462,VA NONMETROPOLITAN AREA,united states__virginia__harrisonburg__MSA
rocky mount,virginia,36.99764,-79.89198,4799,Roanoke VA MSA,united states__virginia__roanoke__MSA
opa locka,florida,25.90232,-80.25033,16565,Miami-Fort Lauderdale-Pompano Beach FL MSA,united states__florida__miami__MSA
cayce,south carolina,33.96571,-81.07398,13619,Columbia SC MSA,united states__south carolina__columbia__MSA
schiller park,illinois,41.95586,-87.8709,11806,Chicago-Naperville-Joliet IL-IN-WI MSA,united states__illinois__chicago__MSA
fort campbell north,kentucky,36.65429,-87.46056,13685,,united states__kentucky__fort campbell north__MSA
kings mountain,north carolina,35.24513,-81.34119,10760,NC NONMETROPOLITAN AREA,united states__north carolina__charlotte__MSA
jackson,wisconsin,43.32389,-88.16676,6859,Jackson MS MSA,united states__wisconsin__milwaukee__MSA
harmans,maryland,39.1573,-76.6966,0,Baltimore-Towson MD MSA,united states__washington d c__washington__MSA
branchburg,new jersey,40.5629,-74.714,14480,,united states__new york__new york city__MSA
little ferry,new jersey,40.85288,-74.04208,10963,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
thomasville,north carolina,35.88264,-80.08199,27061,NC NONMETROPOLITAN AREA,united states__north carolina__greensboro__MSA
belleville,michigan,42.20476,-83.48521,3880,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__michigan__detroit__MSA
bridgeville,pennsylvania,40.35618,-80.11006,5092,Pittsburgh PA MSA,united states__pennsylvania__pittsburgh__MSA
westport,massachusetts,41.5886,-71.0837,15925,Providence-New Bedford-Fall River RI-MA MSA,united states__massachusetts__new bedford__MSA
whiteland,indiana,39.55005,-86.07971,4320,Indianapolis-Carmel IN MSA,united states__indiana__indianapolis__MSA
parrish,florida,27.5875,-82.4251,0,Birmingham-Hoover AL MSA,united states__florida__tampa__MSA
machesney park,illinois,42.34724,-89.039,22927,Rockford IL MSA,united states__illinois__rockford__MSA
moundsville,west virginia,39.92035,-80.74314,8710,Wheeling WV-OH MSA,united states__west virginia__fairmont__MSA
rossford,ohio,41.60977,-83.56438,6512,Toledo OH MSA,united states__ohio__toledo__MSA
wall,new jersey,40.1674,-74.0974,25745,Rapid City SD MSA,united states__new york__new york city__MSA
smithfield,virginia,36.98237,-76.63107,8364,Raleigh-Cary NC MSA,united states__virginia__virginia beach__MSA
charleroi,pennsylvania,40.13785,-79.8981,4015,Pittsburgh PA MSA,united states__pennsylvania__pittsburgh__MSA
rockledge,florida,28.35084,-80.72533,24926,Palm Bay-Melbourne-Titusville FL MSA,united states__florida__orlando__MSA
sunbury,ohio,40.24256,-82.85907,5097,PA NONMETROPOLITAN AREA,united states__ohio__columbus__MSA
grayson,georgia,33.89427,-83.95574,3147,Atlanta-Sandy Springs-Marietta GA MSA,united states__georgia__atlanta__MSA
bethlehem,georgia,33.93206,-83.71378,671,Allentown-Bethlehem-Easton PA-NJ MSA,united states__georgia__atlanta__MSA
egypt,pennsylvania,40.6801,-75.52991,2391,TX NONMETROPOLITAN AREA,united states__pennsylvania__easton__MSA
seabrook,texas,29.56412,-95.02548,13716,Houston-Sugar Land-Baytown TX MSA,united states__texas__houston__MSA
bristol,pennsylvania,40.10067,-74.85183,9569,Kingsport-Bristol-Bristol TN-VA MSA,united states__pennsylvania__philadelphia__MSA
milltown,new jersey,40.45622,-74.44321,7049,WI NONMETROPOLITAN AREA,united states__new york__new york city__MSA
cranford,new jersey,40.65844,-74.29959,22627,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
lilburn,georgia,33.8901,-84.14297,12655,Atlanta-Sandy Springs-Marietta GA MSA,united states__georgia__atlanta__MSA
venice,florida,27.09978,-82.45426,22211,Sarasota-Bradenton-Venice FL MSA,united states__florida__cape coral__MSA
centennial,colorado,39.57916,-104.87692,109741,WY NONMETROPOLITAN AREA,united states__colorado__denver__MSA
medina,ohio,41.13839,-81.86375,26339,San Antonio TX MSA,united states__ohio__cleveland__MSA
wakefield,massachusetts,42.50648,-71.07283,24932,Baton Rouge LA MSA,united states__massachusetts__boston__MSA
fort oglethorpe,georgia,34.94896,-85.2569,9803,Chattanooga TN-GA MSA,united states__tennessee__chattanooga__MSA
braintree,massachusetts,42.20384,-71.00215,37297,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
ellenwood,georgia,33.6101,-84.288,0,Atlanta-Sandy Springs-Marietta GA MSA,united states__georgia__atlanta__MSA
paris,kentucky,38.2098,-84.25299,9870,TN NONMETROPOLITAN AREA,united states__kentucky__lexington__MSA
ada,michigan,42.9542,-85.4889,0,Grand Rapids-Wyoming MI MSA,united states__michigan__grand rapids__MSA
willowbrook,california,33.91696,-118.25507,35983,Chicago-Naperville-Joliet IL-IN-WI MSA,united states__california__los angeles__MSA
