city,state,latitude,longitude,population,msa,new_msa
jyllinge,zealand,55.75295,12.10315,10287,,denmark__capital region__copenhagen__MSA
solrød,zealand,55.53628,12.1827,2000,,denmark__capital region__copenhagen__MSA
søndersø,south denmark,55.48526,10.2554,3319,,denmark__central jutland__arhus__MSA
hørning,central jutland,56.412,10.20018,8294,,denmark__central jutland__arhus__MSA
nibe,north denmark,56.9815,9.63917,5302,,denmark__north denmark__aalborg__MSA
bramming,south denmark,55.46946,8.70007,6726,,denmark__south denmark__esbjerg__MSA
juelsminde,central jutland,55.70876,10.01668,3667,,denmark__central jutland__arhus__MSA
hornsyld,central jutland,55.75621,9.85643,1619,,denmark__central jutland__arhus__MSA
skalborg,nordjylland,57.0016,9.8879,0,,denmark__north denmark__aalborg__MSA
glostrup,capital region,55.6666,12.40377,20673,,denmark__capital region__copenhagen__MSA
vojens,south denmark,55.24639,9.30603,7412,,denmark__south denmark__odense__MSA
valby,capital region,55.66613,12.51388,46161,,denmark__capital region__copenhagen__MSA
christianshavn,capital region,55.67383,12.59541,10140,,denmark__capital region__copenhagen__MSA
skanderborg,central jutland,56.03434,9.93177,13543,,denmark__central jutland__arhus__MSA
helsinge,capital region,56.02283,12.19752,7354,,denmark__capital region__copenhagen__MSA
søften,central jutland,56.23801,10.0851,2030,,denmark__central jutland__arhus__MSA
aabenraa,south denmark,55.04434,9.41741,16344,,denmark__south denmark__odense__MSA
hedensted,central jutland,55.77043,9.7011,10048,,denmark__central jutland__arhus__MSA
grasten,south denmark,54.91918,9.59523,4228,,denmark__south denmark__odense__MSA
næstved,zealand,55.22992,11.76092,40660,,denmark__capital region__copenhagen__MSA
charlottenlund,capital region,55.75238,12.5745,40000,,denmark__capital region__copenhagen__MSA
farum,capital region,55.80858,12.36066,18376,,denmark__capital region__copenhagen__MSA
brande,central jutland,55.94316,9.12798,6357,,denmark__central jutland__arhus__MSA
arslev,south denmark,55.30353,10.46428,3228,,denmark__south denmark__odense__MSA
ebeltoft,central jutland,56.19442,10.6821,7501,,denmark__central jutland__arhus__MSA
ejby,south denmark,55.4301,9.92973,1996,,denmark__south denmark__odense__MSA
vildbjerg,central jutland,56.2,8.76667,3773,,denmark__central jutland__holstebro__MSA
fredensborg,capital region,55.97558,12.40314,8792,,denmark__capital region__copenhagen__MSA
smørumnedre,capital region,55.74232,12.30276,9507,,denmark__capital region__copenhagen__MSA
lejre,zealand,55.60461,11.97477,2036,,denmark__capital region__copenhagen__MSA
holsted,south denmark,55.51086,8.91872,3096,,denmark__south denmark__esbjerg__MSA
bjæverskov,zealand,55.45756,12.03651,3014,,denmark__capital region__copenhagen__MSA
bogense,south denmark,55.56691,10.08863,3410,,denmark__central jutland__arhus__MSA
ølstykke,capital region,55.79567,12.15509,5348,,denmark__capital region__copenhagen__MSA
pandrup,north denmark,57.22147,9.67569,2898,,denmark__north denmark__aalborg__MSA
nykøbing mors,north denmark,56.79334,8.85282,9326,,denmark__north denmark__aalborg__MSA
kokkedal,hovedstaden,55.9098,12.5152,0,,denmark__capital region__copenhagen__MSA
niva,capital region,55.93405,12.50485,7991,,denmark__capital region__copenhagen__MSA
